Latitude,Longitude,Elevation
43.32251500,-80.1969480,265.0
43.32732700,-80.2066370,264.0
43.33060500,-80.2255080,266.0
43.33361300,-80.2329720,262.0
43.34497300,-80.2363520,267.0
43.34239300,-80.2514520,279.0
43.34060500,-80.2515420,285.0
43.34827500,-80.2762620,292.0
43.35453800,-80.2871780,294.0
43.35844800,-80.2865470,293.0
43.36195700,-80.2905380,297.0
43.37249800,-80.2959850,288.0
43.38551500,-80.3003250,302.0
43.38552800,-80.3006470,302.0
43.38094500,-80.3069250,289.0
43.38553300,-80.3009220,302.0
43.41595300,-80.3085880,321.0
43.41471200,-80.3123280,320.0
43.41348800,-80.3544480,282.0
43.40623500,-80.3695130,304.0
43.40407300,-80.3787850,311.0
43.40874300,-80.3870430,313.0
43.41566300,-80.4074630,305.0
43.42212700,-80.4205470,304.0
43.42576200,-80.4336080,336.0
43.43127000,-80.4412320,332.0
43.43618700,-80.4550250,324.0
43.44353700,-80.4566180,318.0
43.45693500,-80.4706070,327.0
43.46249300,-80.4696570,326.0
43.45760800,-80.4856330,334.0
43.45970300,-80.4870220,335.0
43.45869000,-80.4904180,341.0
43.46741700,-80.4996850,347.0
43.46536500,-80.5053930,344.0
43.47015700,-80.5126850,327.0
43.46731000,-80.5250770,339.0
43.46435200,-80.5255150,327.0
43.45597300,-80.5434580,344.0
43.44402800,-80.5782000,390.0
43.44569800,-80.5819850,397.0
